sale_date,product_name,category,season_affinity,price,cost_price,discount_percent,final_price,is_festival,festival_name,is_weekend,predicted_quantity_lgb,predicted_quantity_xgb,predicted_quantity_catboost,predicted_quantity_ensemble,forecasted_revenue
2025-11-15,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,1,14,14,14,14,4200.0
2025-11-16,Amul Ghee 500ml,Dairy,winter,300,220,0.0,300.0,0,,1,14,15,14,14,4200.0
2025-11-17,Amul Ghee 500ml,Dairy,winter,300,220,2.5,292.5,0,,0,14,14,13,13,3802.5
2025-11-11,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,0,32,31,30,31,620.0
2025-11-12,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,0,32,31,31,31,620.0
2025-11-13,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,0,32,31,31,32,640.0
2025-11-14,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,0,32,31,32,32,640.0
2025-11-15,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,1,32,31,33,33,660.0
2025-11-16,Amul Lassi 200ml,Dairy,summer,20,12,0.0,20.0,0,,1,32,31,33,33,660.0
2025-11-17,Amul Lassi 200ml,Dairy,summer,20,12,3.0,19.4,0,,0,32,31,31,31,601.4
2025-11-11,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,0,58,57,56,56,2800.0
2025-11-12,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,0,58,57,56,57,2850.0
2025-11-13,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,0,58,58,57,57,2850.0
2025-11-14,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,0,59,57,58,58,2900.0
2025-11-15,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,1,59,57,57,58,2900.0
2025-11-16,Amul Milk 1L,Dairy,all,50,35,0.0,50.0,0,,1,59,57,58,58,2900.0
2025-11-17,Amul Milk 1L,Dairy,all,50,35,3.0,48.5,0,,0,59,56,56,57,2764.5
2025-11-11,Bikano Soan Papdi 250g,Snacks,winter,100,70,0.0,100.0,0,,0,18,26,17,17,1700.0
2025-11-12,Bikano Soan Papdi 250g,Snacks,winter,100,70,3.5,96.5,0,,0,18,26,18,18,1737.0
2025-11-13,Bikano Soan Papdi 250g,Snacks,winter,100,70,0.0,100.0,0,,0,18,26,18,18,1800.0
2025-11-14,Bikano Soan Papdi 250g,Snacks,winter,100,70,0.0,100.0,0,,0,18,26,19,19,1900.0
2025-11-15,Bikano Soan Papdi 250g,Snacks,winter,100,70,2.25,97.75,0,,1,18,26,19,19,1857.25
2025-11-16,Bikano Soan Papdi 250g,Snacks,winter,100,70,0.0,100.0,0,,1,18,26,19,19,1900.0
2025-11-17,Bikano Soan Papdi 250g,Snacks,winter,100,70,0.0,100.0,0,,0,18,26,18,18,1800.0
2025-11-11,Bisleri Water 1L,Beverages,summer,20,12,2.5,19.5,0,,0,38,42,37,37,721.5
2025-11-12,Bisleri Water 1L,Beverages,summer,20,12,0.0,20.0,0,,0,38,42,37,37,740.0
2025-11-13,Bisleri Water 1L,Beverages,summer,20,12,0.0,20.0,0,,0,38,42,38,38,760.0
2025-11-14,Bisleri Water 1L,Beverages,summer,20,12,0.0,20.0,0,,0,38,42,39,39,780.0
2025-11-15,Bisleri Water 1L,Beverages,summer,20,12,0.0,20.0,0,,1,38,42,39,39,780.0
2025-11-16,Bisleri Water 1L,Beverages,summer,20,12,3.5,19.3,0,,1,38,43,41,40,772.0
2025-11-17,Bisleri Water 1L,Beverages,summer,20,12,0.0,20.0,0,,0,37,42,38,38,760.0
2025-11-11,Britannia Bourbon 120g,Snacks,all,30,20,0.0,30.0,0,,0,28,39,28,28,840.0
2025-11-12,Britannia Bourbon 120g,Snacks,all,30,20,2.5,29.25,0,,0,28,39,28,28,819.0
2025-11-13,Britannia Bourbon 120g,Snacks,all,30,20,0.0,30.0,0,,0,28,39,29,28,840.0
2025-11-14,Britannia Bourbon 120g,Snacks,all,30,20,0.0,30.0,0,,0,28,39,30,30,900.0
2025-11-15,Britannia Bourbon 120g,Snacks,all,30,20,2.5,29.25,0,,1,28,39,31,30,877.5
2025-11-16,Britannia Bourbon 120g,Snacks,all,30,20,0.0,30.0,0,,1,28,39,30,30,900.0
2025-11-17,Britannia Bourbon 120g,Snacks,all,30,20,0.0,30.0,0,,0,28,39,29,28,840.0
2025-11-11,Britannia Good Day 100g,Snacks,all,30,20,0.0,30.0,0,,0,36,44,35,35,1050.0
2025-11-12,Britannia Good Day 100g,Snacks,all,30,20,3.0,29.099999999999998,0,,0,36,44,36,36,1047.6
2025-11-13,Britannia Good Day 100g,Snacks,all,30,20,0.0,30.0,0,,0,37,44,36,36,1080.0
2025-11-14,Britannia Good Day 100g,Snacks,all,30,20,0.0,30.0,0,,0,37,44,37,37,1110.0
2025-11-15,Britannia Good Day 100g,Snacks,all,30,20,2.75,29.175,0,,1,37,44,37,37,1079.4750000000001
2025-11-16,Britannia Good Day 100g,Snacks,all,30,20,0.0,30.0,0,,1,37,44,37,37,1110.0
2025-11-17,Britannia Good Day 100g,Snacks,all,30,20,0.0,30.0,0,,0,36,44,36,36,1080.0
2025-11-11,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,0,74,74,71,72,2520.0
2025-11-12,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,0,74,74,71,72,2520.0
2025-11-13,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,0,74,74,71,72,2520.0
2025-11-14,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,0,74,74,72,73,2555.0
2025-11-15,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,1,74,74,73,73,2555.0
2025-11-16,Britannia Milk Bread,Dairy,all,35,22,0.0,35.0,0,,1,74,74,73,73,2555.0
2025-11-17,Britannia Milk Bread,Dairy,all,35,22,2.5,34.125,0,,0,74,75,72,72,2457.0
2025-11-11,Cadbury Dairy Milk 55g,Snacks,winter,50,35,0.0,50.0,0,,0,31,36,31,31,1550.0
2025-11-12,Cadbury Dairy Milk 55g,Snacks,winter,50,35,3.25,48.375,0,,0,32,36,31,32,1548.0
2025-11-13,Cadbury Dairy Milk 55g,Snacks,winter,50,35,0.0,50.0,0,,0,32,36,32,32,1600.0
2025-11-14,Cadbury Dairy Milk 55g,Snacks,winter,50,35,0.0,50.0,0,,0,32,36,33,33,1650.0
2025-11-15,Cadbury Dairy Milk 55g,Snacks,winter,50,35,3.0,48.5,0,,1,32,36,33,33,1600.5
2025-11-16,Cadbury Dairy Milk 55g,Snacks,winter,50,35,0.0,50.0,0,,1,32,36,33,33,1650.0
2025-11-17,Cadbury Dairy Milk 55g,Snacks,winter,50,35,0.0,50.0,0,,0,31,36,31,31,1550.0
2025-11-11,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,0,14,14,13,13,845.0
2025-11-12,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,0,14,14,13,14,910.0
2025-11-13,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,0,15,14,14,14,910.0
2025-11-14,Catch Chilli Powder 100g,Staples,all,65,45,2.25,63.5375,0,,0,15,14,15,15,953.0625
2025-11-15,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,1,15,14,15,15,975.0
2025-11-16,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,1,15,14,15,15,975.0
2025-11-17,Catch Chilli Powder 100g,Staples,all,65,45,0.0,65.0,0,,0,15,14,14,14,910.0
2025-11-11,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,0,9,9,8,8,1280.0
2025-11-12,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,0,9,9,8,8,1280.0
2025-11-13,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,2.75,155.6,0,,0,9,9,9,9,1400.3999999999999
2025-11-14,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,0,9,9,10,9,1440.0
2025-11-15,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,1,9,9,9,9,1440.0
2025-11-16,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,1,9,9,9,9,1440.0
2025-11-17,Clinic Plus Shampoo 340ml,Personal Care,all,160,115,0.0,160.0,0,,0,9,9,8,9,1440.0
2025-11-11,Coca Cola 500ml,Beverages,summer,40,25,3.25,38.7,0,,0,33,34,29,30,1161.0
2025-11-12,Coca Cola 500ml,Beverages,summer,40,25,0.0,40.0,0,,0,33,34,29,30,1200.0
2025-11-13,Coca Cola 500ml,Beverages,summer,40,25,0.0,40.0,0,,0,33,34,30,31,1240.0
2025-11-14,Coca Cola 500ml,Beverages,summer,40,25,0.0,40.0,0,,0,33,34,31,32,1280.0
2025-11-15,Coca Cola 500ml,Beverages,summer,40,25,0.0,40.0,0,,1,33,34,31,32,1280.0
2025-11-16,Coca Cola 500ml,Beverages,summer,40,25,3.25,38.7,0,,1,33,34,32,33,1277.1000000000001
2025-11-17,Coca Cola 500ml,Beverages,summer,40,25,0.0,40.0,0,,0,33,34,30,31,1240.0
2025-11-11,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,0,24,24,23,23,2530.0
2025-11-12,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,0,24,25,23,23,2530.0
2025-11-13,Colgate Toothpaste 200g,Personal Care,all,110,78,2.25,107.525,0,,0,24,25,24,24,2580.6000000000004
2025-11-14,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,0,24,25,25,25,2750.0
2025-11-15,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,1,24,25,25,25,2750.0
2025-11-16,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,1,24,25,25,25,2750.0
2025-11-17,Colgate Toothpaste 200g,Personal Care,all,110,78,0.0,110.0,0,,0,24,24,24,24,2640.0
2025-11-11,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,0,10,11,9,9,1260.0
2025-11-12,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,0,10,11,9,9,1260.0
2025-11-13,Dettol Soap 125g 4-pack,Personal Care,all,140,100,2.75,136.15,0,,0,10,12,10,10,1361.5
2025-11-14,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,0,10,11,10,10,1400.0
2025-11-15,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,1,10,12,10,10,1400.0
2025-11-16,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,1,10,12,10,10,1400.0
2025-11-17,Dettol Soap 125g 4-pack,Personal Care,all,140,100,0.0,140.0,0,,0,10,12,9,9,1260.0
2025-11-11,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,0,12,10,9,10,1800.0
2025-11-12,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,0,12,10,9,10,1800.0
2025-11-13,Dove Soap 100g 3-pack,Personal Care,all,180,130,3.0,174.6,0,,0,12,10,10,10,1746.0
2025-11-14,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,0,12,10,11,11,1980.0
2025-11-15,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,1,12,10,10,11,1980.0
2025-11-16,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,1,12,10,10,11,1980.0
2025-11-17,Dove Soap 100g 3-pack,Personal Care,all,180,130,0.0,180.0,0,,0,12,10,10,10,1800.0
2025-11-11,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,0,15,18,14,14,1190.0
2025-11-12,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,0,15,18,15,15,1275.0
2025-11-13,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,0,15,18,15,15,1275.0
2025-11-14,Everest Garam Masala 100g,Staples,winter,85,60,2.0,83.3,0,,0,15,18,16,16,1332.8
2025-11-15,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,1,15,19,17,16,1360.0
2025-11-16,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,1,15,19,17,16,1360.0
2025-11-17,Everest Garam Masala 100g,Staples,winter,85,60,0.0,85.0,0,,0,15,18,15,15,1275.0
2025-11-11,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,0,17,16,15,16,2880.0
2025-11-12,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,0,17,16,16,16,2880.0
2025-11-13,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,0,17,16,16,16,2880.0
2025-11-14,Fortune Sunflower Oil 1L,Staples,all,180,130,2.75,175.05,0,,0,17,16,18,18,3150.9
2025-11-15,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,1,17,16,17,17,3060.0
2025-11-16,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,1,18,16,18,18,3240.0
2025-11-17,Fortune Sunflower Oil 1L,Staples,all,180,130,0.0,180.0,0,,0,17,16,16,16,2880.0
2025-11-11,Frooti Mango Drink 200ml,Beverages,summer,20,13,2.25,19.55,0,,0,30,30,28,29,566.95
2025-11-12,Frooti Mango Drink 200ml,Beverages,summer,20,13,0.0,20.0,0,,0,30,30,29,29,580.0
2025-11-13,Frooti Mango Drink 200ml,Beverages,summer,20,13,0.0,20.0,0,,0,30,30,29,29,580.0
2025-11-14,Frooti Mango Drink 200ml,Beverages,summer,20,13,0.0,20.0,0,,0,30,30,31,30,600.0
2025-11-15,Frooti Mango Drink 200ml,Beverages,summer,20,13,0.0,20.0,0,,1,30,30,31,31,620.0
2025-11-16,Frooti Mango Drink 200ml,Beverages,summer,20,13,3.25,19.35,0,,1,30,31,31,31,599.85
2025-11-17,Frooti Mango Drink 200ml,Beverages,summer,20,13,0.0,20.0,0,,0,30,30,30,30,600.0
2025-11-11,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,0,9,9,8,9,1620.0
2025-11-12,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,0,9,9,9,9,1620.0
2025-11-13,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,3.0,174.6,0,,0,9,9,9,9,1571.3999999999999
2025-11-14,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,0,9,9,10,10,1800.0
2025-11-15,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,1,9,9,10,9,1620.0
2025-11-16,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,1,9,9,10,10,1800.0
2025-11-17,Gillette Mach3 Razor 1pc,Personal Care,all,180,130,0.0,180.0,0,,0,9,9,9,9,1620.0
2025-11-11,Haldiram Bhujia 200g,Snacks,all,50,35,0.0,50.0,0,,0,28,32,28,28,1400.0
2025-11-12,Haldiram Bhujia 200g,Snacks,all,50,35,2.75,48.625,0,,0,28,32,29,29,1410.125
2025-11-13,Haldiram Bhujia 200g,Snacks,all,50,35,0.0,50.0,0,,0,28,32,30,29,1450.0
2025-11-14,Haldiram Bhujia 200g,Snacks,all,50,35,0.0,50.0,0,,0,28,32,31,30,1500.0
2025-11-15,Haldiram Bhujia 200g,Snacks,all,50,35,2.0,49.0,0,,1,28,32,31,31,1519.0
2025-11-16,Haldiram Bhujia 200g,Snacks,all,50,35,0.0,50.0,0,,1,28,32,31,31,1550.0
2025-11-17,Haldiram Bhujia 200g,Snacks,all,50,35,0.0,50.0,0,,0,28,32,30,29,1450.0
2025-11-11,Haldiram Namkeen Mix 200g,Snacks,all,60,42,0.0,60.0,0,,0,22,30,22,22,1320.0
2025-11-12,Haldiram Namkeen Mix 200g,Snacks,all,60,42,2.0,58.8,0,,0,23,30,23,23,1352.3999999999999
2025-11-13,Haldiram Namkeen Mix 200g,Snacks,all,60,42,0.0,60.0,0,,0,22,30,23,23,1380.0
2025-11-14,Haldiram Namkeen Mix 200g,Snacks,all,60,42,0.0,60.0,0,,0,23,30,25,24,1440.0
2025-11-15,Haldiram Namkeen Mix 200g,Snacks,all,60,42,2.5,58.5,0,,1,23,31,25,25,1462.5
2025-11-16,Haldiram Namkeen Mix 200g,Snacks,all,60,42,0.0,60.0,0,,1,23,30,25,25,1500.0
2025-11-17,Haldiram Namkeen Mix 200g,Snacks,all,60,42,0.0,60.0,0,,0,22,30,23,23,1380.0
2025-11-11,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,0,13,10,11,12,1680.0
2025-11-12,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,0,13,10,11,12,1680.0
2025-11-13,Himalaya Face Wash 100ml,Personal Care,summer,140,100,2.5,136.5,0,,0,13,10,12,12,1638.0
2025-11-14,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,0,13,10,13,13,1820.0
2025-11-15,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,1,13,10,12,13,1820.0
2025-11-16,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,1,13,10,13,13,1820.0
2025-11-17,Himalaya Face Wash 100ml,Personal Care,summer,140,100,0.0,140.0,0,,0,13,10,11,12,1680.0
2025-11-11,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,0,15,14,13,13,5850.0
2025-11-12,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,0,15,14,13,14,6300.0
2025-11-13,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,0,15,14,14,14,6300.0
2025-11-14,India Gate Basmati Rice 5kg,Staples,all,450,320,3.5,434.25,0,,0,15,14,15,15,6513.75
2025-11-15,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,1,15,14,15,15,6750.0
2025-11-16,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,1,15,14,15,15,6750.0
2025-11-17,India Gate Basmati Rice 5kg,Staples,all,450,320,0.0,450.0,0,,0,15,14,14,14,6300.0
2025-11-11,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,0,9,14,8,8,640.0
2025-11-12,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,0,9,15,8,9,720.0
2025-11-13,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,0,10,15,9,9,720.0
2025-11-14,India Gate Sabudana 500g,Staples,all,80,55,2.25,78.2,0,,0,10,15,10,10,782.0
2025-11-15,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,1,10,15,10,10,800.0
2025-11-16,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,1,10,15,10,10,800.0
2025-11-17,India Gate Sabudana 500g,Staples,all,80,55,0.0,80.0,0,,0,10,15,8,9,720.0
2025-11-11,KitKat Chocolate 37g,Snacks,winter,40,28,0.0,40.0,0,,0,21,27,19,19,760.0
2025-11-12,KitKat Chocolate 37g,Snacks,winter,40,28,2.75,38.9,0,,0,21,27,19,20,778.0
2025-11-13,KitKat Chocolate 37g,Snacks,winter,40,28,0.0,40.0,0,,0,21,28,20,20,800.0
2025-11-14,KitKat Chocolate 37g,Snacks,winter,40,28,0.0,40.0,0,,0,21,27,21,21,840.0
2025-11-15,KitKat Chocolate 37g,Snacks,winter,40,28,2.75,38.9,0,,1,21,28,21,21,816.9
2025-11-16,KitKat Chocolate 37g,Snacks,winter,40,28,0.0,40.0,0,,1,21,28,21,21,840.0
2025-11-17,KitKat Chocolate 37g,Snacks,winter,40,28,0.0,40.0,0,,0,21,27,20,20,800.0
2025-11-11,Kurkure 60g Masala Munch,Snacks,all,20,13,0.0,20.0,0,,0,46,46,43,44,880.0
2025-11-12,Kurkure 60g Masala Munch,Snacks,all,20,13,3.5,19.3,0,,0,46,47,44,45,868.5
2025-11-13,Kurkure 60g Masala Munch,Snacks,all,20,13,0.0,20.0,0,,0,46,47,45,45,900.0
2025-11-14,Kurkure 60g Masala Munch,Snacks,all,20,13,0.0,20.0,0,,0,46,47,46,46,920.0
2025-11-15,Kurkure 60g Masala Munch,Snacks,all,20,13,3.25,19.35,0,,1,46,48,46,46,890.1
2025-11-16,Kurkure 60g Masala Munch,Snacks,all,20,13,0.0,20.0,0,,1,46,47,46,46,920.0
2025-11-17,Kurkure 60g Masala Munch,Snacks,all,20,13,0.0,20.0,0,,0,46,47,44,45,900.0
2025-11-11,Lays Chips 52g Classic Salted,Snacks,all,20,13,0.0,20.0,0,,0,50,49,45,46,920.0
2025-11-12,Lays Chips 52g Classic Salted,Snacks,all,20,13,3.25,19.35,0,,0,50,49,46,47,909.45
2025-11-13,Lays Chips 52g Classic Salted,Snacks,all,20,13,0.0,20.0,0,,0,51,49,46,48,960.0
2025-11-14,Lays Chips 52g Classic Salted,Snacks,all,20,13,0.0,20.0,0,,0,51,49,48,48,960.0
2025-11-15,Lays Chips 52g Classic Salted,Snacks,all,20,13,3.5,19.3,0,,1,51,50,48,49,945.7
2025-11-16,Lays Chips 52g Classic Salted,Snacks,all,20,13,0.0,20.0,0,,1,51,49,48,49,980.0
2025-11-17,Lays Chips 52g Classic Salted,Snacks,all,20,13,0.0,20.0,0,,0,50,49,46,47,940.0
2025-11-11,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,0,13,12,11,12,840.0
2025-11-12,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,0,13,12,11,12,840.0
2025-11-13,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,0,13,12,12,12,840.0
2025-11-14,MDH Chana Masala 100g,Staples,all,70,50,3.25,67.72500000000001,0,,0,13,12,13,13,880.4250000000001
2025-11-15,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,1,13,12,13,13,910.0
2025-11-16,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,1,13,12,13,13,910.0
2025-11-17,MDH Chana Masala 100g,Staples,all,70,50,0.0,70.0,0,,0,13,12,12,12,840.0
2025-11-11,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,0.0,48.0,0,,0,47,50,48,48,2304.0
2025-11-12,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,2.5,46.8,0,,0,47,49,49,48,2246.3999999999996
2025-11-13,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,0.0,48.0,0,,0,47,49,49,49,2352.0
2025-11-14,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,0.0,48.0,0,,0,47,50,50,49,2352.0
2025-11-15,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,2.75,46.68,0,,1,47,50,51,50,2334.0
2025-11-16,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,0.0,48.0,0,,1,47,50,50,49,2352.0
2025-11-17,Maggi Noodles 280g 4-pack,Snacks,monsoon,48,34,0.0,48.0,0,,0,47,50,49,49,2352.0
2025-11-11,Mother Dairy Curd 400g,Dairy,summer,30,20,0.0,30.0,0,,0,45,47,45,45,1350.0
2025-11-12,Mother Dairy Curd 400g,Dairy,summer,30,20,0.0,30.0,0,,0,45,47,45,45,1350.0
2025-11-13,Mother Dairy Curd 400g,Dairy,summer,30,20,0.0,30.0,0,,0,45,47,46,46,1380.0
2025-11-14,Mother Dairy Curd 400g,Dairy,summer,30,20,0.0,30.0,0,,0,45,47,47,46,1380.0
2025-11-15,Mother Dairy Curd 400g,Dairy,summer,30,20,0.0,30.0,0,,1,45,47,47,46,1380.0
